,index,edad,nivel_educativo,empleo,genero,raza,rol,estado_civil,departamento,ContF,Nfriend
0,3,50,3,1,2,7,0.6270843400091657,2,1,0,4.0
1,9,51,3,1,2,5,0.554153713927025,1,1,0,4.0
2,20,70,4,2,2,7,0.4464002477719054,1,1,0,4.0
3,26,68,4,1,1,6,0.5060797438554189,2,1,0,4.0
4,27,43,1,1,2,7,0.7316390249376941,2,1,0,4.0
5,34,13,2,1,2,7,0.6275819250729844,1,1,0,4.0
6,36,70,3,1,2,7,0.3446515272172444,2,1,0,4.0
7,39,59,2,2,1,7,0.064958202949543,1,1,0,3.0
8,55,32,3,1,1,7,0.7557955577943303,1,1,0,5.0
9,56,27,3,2,1,7,0.4537855650419765,1,1,0,4.0
10,62,50,2,1,2,7,0.3672817446300911,1,1,0,4.0
11,63,55,3,1,2,7,0.4742604986934136,1,1,0,4.0
12,68,60,2,1,2,6,0.6301936883475172,1,1,0,4.0
13,71,53,4,1,1,7,0.7643948187528791,2,1,0,5.0
14,75,33,4,1,2,7,0.3429284402298398,4,1,0,4.0
15,98,24,4,2,1,7,0.5028161362881274,4,1,0,4.0
16,126,59,2,1,2,7,0.7202278440621823,1,1,0,4.0
17,130,11,3,1,2,7,0.5820683640937383,1,1,0,4.0
18,132,41,1,1,2,7,0.393780863276657,1,1,0,4.0
19,144,12,3,1,2,7,0.4689789658998529,1,1,0,4.0
20,172,54,3,1,1,7,0.3876611144750971,1,1,0,4.0
21,189,64,3,2,1,7,0.1789154101273683,3,1,0,3.0
22,200,44,2,1,2,7,0.6384236326405247,1,1,0,4.0
23,205,60,3,1,2,7,0.565302015769692,1,1,0,4.0
24,208,70,2,1,1,5,0.3354865057996981,4,1,0,4.0
25,217,66,2,1,2,7,0.7562623987424818,4,1,0,5.0
26,219,47,3,2,2,5,0.6507921892447662,1,1,0,4.0
27,248,57,2,2,1,4,0.2594886406565631,2,1,0,4.0
28,250,39,1,2,2,7,0.5261961303731532,1,1,0,4.0
29,257,53,3,1,1,7,0.4361886800945567,1,1,0,4.0
30,258,23,2,1,2,4,0.3353649157992654,1,1,0,4.0
31,259,56,3,1,1,7,0.4608392977862964,4,1,0,4.0
32,264,31,3,2,2,7,0.2193332309185608,1,1,0,3.0
33,268,58,1,1,1,7,0.4991219369462512,1,1,0,4.0
34,276,42,2,2,1,7,0.4840944499867667,2,1,0,4.0
35,277,58,4,1,1,7,0.2864278513957112,1,1,0,4.0
36,289,56,3,1,1,7,0.4792728217227022,3,1,0,4.0
37,317,16,3,1,1,7,0.5073078539697538,1,1,0,4.0
38,320,57,3,1,2,7,0.2861428453983876,2,1,0,4.0
39,324,41,3,1,2,5,0.0909207304533993,2,1,0,3.0
40,333,70,3,1,1,7,0.263691267774054,1,1,0,4.0
41,336,69,2,1,1,7,0.4249124606475545,2,1,0,4.0
42,337,24,4,2,2,7,0.5227569725477119,1,1,0,4.0
43,344,66,2,1,2,7,0.668536742292493,4,1,0,4.0
44,346,17,3,1,1,7,0.5130851609674488,1,1,0,4.0
45,351,22,2,1,1,7,0.4019017663717952,3,1,0,4.0
46,352,32,3,1,1,6,0.3982725828905862,2,1,0,4.0
47,353,34,3,1,2,7,0.2497886380499649,1,1,0,3.0
48,359,56,2,1,2,7,0.4998268627954385,2,1,0,4.0
49,366,70,2,1,1,7,0.713906115321706,1,1,0,4.0
50,368,68,3,1,1,7,0.4055110446262949,4,1,0,4.0
51,370,29,3,1,1,7,0.7465886153793557,1,1,0,4.0
52,379,67,2,1,1,7,0.6501681342564568,2,1,0,4.0
53,385,44,3,1,1,7,0.6680219005385774,4,1,0,4.0
54,392,40,3,1,1,7,0.6785015603742242,2,1,0,4.0
55,400,21,2,1,2,7,0.6358773622905596,2,1,0,4.0
56,407,15,3,1,1,7,0.0199860801030026,1,1,0,3.0
57,412,69,3,1,1,7,0.3425740265935468,1,1,0,4.0
58,413,13,3,2,1,7,0.0889406478032832,1,1,0,3.0
59,434,26,2,1,2,7,0.3842853618074447,1,1,0,4.0
60,442,51,3,1,1,6,0.577312826222272,1,1,0,4.0
61,479,31,2,1,2,7,0.4717880418243156,4,1,0,4.0
62,486,41,2,1,1,7,0.7947172224361048,1,1,0,5.0
63,493,43,3,1,1,7,0.6644374627689071,1,1,0,4.0
64,496,22,4,1,2,7,0.5820857009026172,1,1,0,4.0
65,517,46,2,1,2,7,0.1296523485912318,1,1,0,3.0
66,518,28,2,2,2,7,0.3560752151314293,1,1,0,4.0
67,526,55,4,1,1,7,0.6056228910395819,1,1,0,4.0
68,530,32,4,1,2,6,0.4955074371821286,1,1,0,4.0
69,532,30,4,1,1,7,0.8840382658591114,4,1,0,5.0
70,555,68,3,1,1,7,0.7653511075914614,1,1,0,5.0
71,559,50,4,1,1,6,0.6489581961607453,1,1,0,4.0
72,576,10,3,1,1,7,0.4514486121640106,1,1,0,4.0
73,578,21,3,1,2,7,0.1461824093648479,1,1,0,3.0
74,580,29,3,1,1,7,0.4494573752795007,4,1,0,4.0
75,585,51,3,2,2,7,0.5270308159553491,1,1,0,4.0
76,598,55,3,2,2,7,0.5685124476134498,1,1,0,4.0
77,599,44,4,1,2,7,0.7931461749721904,1,1,0,5.0
78,607,70,3,1,1,7,0.2520196947763466,1,1,0,4.0
79,627,35,3,1,1,7,0.1181166728520308,1,1,0,3.0
80,629,57,2,1,1,5,0.8235250789667872,4,1,0,5.0
81,637,15,1,1,2,6,0.5010359755289567,1,1,0,4.0
82,641,69,3,1,1,7,0.6684430951914856,1,1,0,4.0
83,645,58,3,1,2,7,0.6678215596375968,1,1,0,4.0
84,646,51,3,1,1,7,0.2192924457989492,3,1,0,3.0
85,669,62,2,1,1,6,0.6987358187413151,1,1,0,4.0
86,686,16,3,1,1,7,0.4873262328838605,1,1,0,4.0
87,690,46,3,1,1,7,0.5718204665269949,1,1,0,4.0
88,701,66,4,1,1,7,0.2527625874416343,1,1,0,4.0
89,706,34,3,1,2,7,0.3783980066544583,1,1,0,4.0
90,729,62,2,1,1,6,0.5336904149589926,1,1,0,4.0
91,731,32,2,1,2,7,0.2279253119791883,1,1,0,3.0
92,738,59,3,1,2,7,0.711045976560666,1,1,0,4.0
93,750,40,2,1,2,7,0.5100916427204103,1,1,0,4.0
94,767,57,3,1,2,7,0.8761111416591902,1,1,0,5.0
95,769,22,4,1,1,5,0.8548092335526722,1,1,0,5.0
96,786,69,3,1,1,7,0.5312243961213583,4,1,0,4.0
97,801,70,4,1,2,7,0.388983165579822,1,1,0,4.0
98,811,46,3,1,2,7,0.377828636915445,1,1,0,4.0
99,813,67,1,1,1,7,0.524821062164919,1,1,0,4.0
100,824,19,3,1,2,7,0.466710577633863,2,1,0,4.0
101,835,64,2,1,1,7,0.5466065649821262,1,1,0,4.0
102,837,54,1,1,2,7,0.2347071492049566,1,1,0,3.0
103,839,28,3,1,1,7,0.258670936375562,2,1,0,4.0
104,840,39,4,1,1,7,0.6019032049274443,2,1,0,4.0
105,843,42,2,1,1,7,0.7268233778797797,1,1,0,4.0
106,844,31,3,2,1,7,0.5504697228525695,4,1,0,4.0
107,867,30,2,1,1,7,0.2250404016203123,4,1,0,3.0
108,889,69,3,1,2,5,0.1761816196101425,1,1,0,3.0
109,892,15,2,1,2,5,0.4291942103168409,1,1,0,4.0
110,895,45,2,1,2,5,0.8587791362077746,4,1,0,5.0
111,899,28,4,1,2,7,0.4454587373420272,4,1,0,4.0
112,910,16,2,1,1,7,0.6229620894394593,1,1,0,4.0
113,913,49,2,1,1,7,0.3676935595031407,1,1,0,4.0
114,924,31,3,1,1,7,0.6133457145825528,1,1,0,4.0
115,929,28,3,1,2,7,0.4473669603401399,2,1,0,4.0
116,933,42,1,1,2,7,0.5380793764811546,4,1,0,4.0
117,946,48,3,2,1,7,0.7146390195836683,2,1,0,4.0
118,952,68,3,1,2,7,0.5619695221145541,1,1,0,4.0
119,968,68,2,1,2,7,0.6592991007895053,1,1,0,4.0
120,972,51,4,2,1,7,0.2761790880310629,1,1,0,4.0
121,984,28,1,1,1,7,0.6237550586555073,1,1,0,4.0
122,997,32,2,1,1,7,0.2901765033096179,1,1,0,4.0
